child_anonim;match;group;group_raw;home_input
4;match1;Bilinguals;BI-UK;polish
7;match1;Bilinguals;BI-UK;mixed
110;match1;Bilinguals;BI-X;polish
8;match1;Bilinguals;BI-NO;noInfo
46;match1;Bilinguals;BI-X;noInfo
49;match1;Bilinguals;BI-NO;noInfo
77;match1;Bilinguals;BI-X;noInfo
120;match1;Bilinguals;BI-NO;mixed
124;match1;Bilinguals;BI-UK;mixed
141;match1;Bilinguals;BI-UK;polish
130;match1;Bilinguals;BI-X;noInfo
132;match1;Bilinguals;BI-UK;noInfo
176;match1;Bilinguals;BI-NO;polish
146;match1;Bilinguals;BI-UK;noInfo
210;match1;Bilinguals;BI-UK;polish
157;match1;Bilinguals;BI-X;noInfo
167;match1;Bilinguals;BI-X;noInfo
230;match1;Bilinguals;BI-X;polish
185;match1;Bilinguals;BI-X;noInfo
187;match1;Bilinguals;BI-UK;noInfo
195;match1;Bilinguals;BI-X;noInfo
196;match1;Bilinguals;BI-NO;noInfo
239;match1;Bilinguals;BI-UK;polish
202;match1;Bilinguals;BI-UK;noInfo
206;match1;Bilinguals;BI-X;noInfo
243;match1;Bilinguals;BI-UK;polish
291;match1;Bilinguals;BI-X;polish
231;match1;Bilinguals;BI-X;noInfo
371;match1;Bilinguals;BI-X;polish
242;match1;Bilinguals;BI-UK;noInfo
390;match1;Bilinguals;BI-UK;polish
245;match1;Bilinguals;BI-X;noInfo
249;match1;Bilinguals;BI-UK;noInfo
271;match1;Bilinguals;BI-UK;noInfo
392;match1;Bilinguals;BI-X;polish
287;match1;Bilinguals;BI-UK;noInfo
288;match1;Bilinguals;BI-UK;noInfo
590;match1;Bilinguals;BI-X;polish
594;match1;Bilinguals;BI-UK;polish
293;match1;Bilinguals;BI-X;noInfo
295;match1;Bilinguals;BI-UK;noInfo
611;match1;Bilinguals;BI-X;polish
312;match1;Bilinguals;BI-X;noInfo
337;match1;Bilinguals;BI-X;noInfo
666;match1;Bilinguals;BI-UK;mixed
343;match1;Bilinguals;BI-UK;noInfo
728;match1;Bilinguals;BI-NO;polish
741;match1;Bilinguals;BI-X;mixed
913;match1;Bilinguals;BI-NO;polish
414;match1;Bilinguals;BI-X;noInfo
1005;match1;Bilinguals;BI-UK;polish
469;match1;Bilinguals;BI-UK;noInfo
527;match1;Bilinguals;BI-X;noInfo
537;match1;Bilinguals;BI-X;noInfo
1099;match1;Bilinguals;BI-NO;polish
543;match1;Bilinguals;BI-NO;noInfo
1269;match1;Bilinguals;BI-UK;polish
1318;match1;Bilinguals;BI-X;polish
1359;match1;Bilinguals;BI-NO;polish
1362;match1;Bilinguals;BI-X;polish
633;match1;Bilinguals;BI-X;noInfo
1363;match1;Bilinguals;BI-NO;polish
1391;match1;Bilinguals;BI-X;polish
669;match1;Bilinguals;BI-UK;noInfo
1482;match1;Bilinguals;BI-UK;polish
680;match1;Bilinguals;BI-X;noInfo
706;match1;Bilinguals;BI-UK;noInfo
1577;match1;Bilinguals;BI-X;polish
1624;match1;Bilinguals;BI-X;polish
770;match1;Bilinguals;BI-X;noInfo
773;match1;Bilinguals;BI-UK;noInfo
777;match1;Bilinguals;BI-UK;noInfo
801;match1;Bilinguals;BI-NO;noInfo
1630;match1;Bilinguals;BI-X;polish
810;match1;Bilinguals;BI-X;noInfo
812;match1;Bilinguals;BI-UK;noInfo
