child_anonim;match;group;sex;age_at_study_entry;days_reporting;parental_edu;country;nr_lang;POLISH;NORWEGIAN;ENGLISH;ALBANIAN;AMHARIC;ARABIC;BENGALI;BULGARIAN;CATALAN;CHINESE;CROATIAN;CZECH;DANISH;DUTCH;ENGLISH_AU;ENGLISH_CAN;ENGLISH_OTHER;ENGLISH_US;FAROESE;FINNISH;FLEMISH;FRENCH;GEORGIAN;GERMAN;GREEK;HEBREW;HINDI;HUNGARIAN;ICELANDIC;IGBO;INDONESIAN;IRISH;ITALIAN;JAPANESE;KABYLE;KASHUBIAN;KOREAN;KURDISH;LATVIAN;LITHUANIAN;MONGOLIAN;NEPALI;PERSIAN;POLISH_SIGN_LANGUAGE;PORTUGESE;PUNJABI;ROMANIAN;RUSSIAN;SERBIAN;SILESIAN;SLOVAK;SLOVENE;SOMALI;SPANISH;SWEDISH;TAGALOG;TAMIL;TELUGU;TURKISH;UKRAINIAN;URDU;VIETNAMESE;WELSH
4;match1;Bilinguals;CHILD_FEMALE;1;2;HIGHER_EDU;UK;2;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5;match1;Bilinguals;CHILD_FEMALE;3;358;UNFINISHED_HIGHER_EDU;Faroe Islands;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
7;match1;Bilinguals;CHILD_FEMALE;21;91;0;UK;2;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8;match1;Bilinguals;CHILD_FEMALE;3;1;0;NORWAY;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
46;match1;Bilinguals;CHILD_MALE;20;2;0;Netherlands;2;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
49;match1;Bilinguals;CHILD_FEMALE;2;1;0;NORWAY;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
77;match1;Bilinguals;CHILD_MALE;17;1;0;Switzerland;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
110;match1;Bilinguals;CHILD_FEMALE;2;529;HIGHER_EDU;Denmark;2;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
120;match1;Bilinguals;CHILD_FEMALE;14;278;HIGHER_EDU;NORWAY;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
124;match1;Bilinguals;CHILD_FEMALE;20;2;HIGHER_EDU;POLAND;2;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
