child_anonim;group;match;crawling_age;walking_age;babbling_age
4;Bilinguals;match1;NA;NA;NA
5;Bilinguals;match1;6;NA;8
7;Bilinguals;match1;9;13;10
8;Bilinguals;match1;NA;NA;NA
46;Bilinguals;match1;NA;NA;NA
49;Bilinguals;match1;NA;NA;NA
77;Bilinguals;match1;NA;NA;NA
110;Bilinguals;match1;NA;NA;NA
120;Bilinguals;match1;11;14;15
124;Bilinguals;match1;7;11;7
130;Bilinguals;match1;NA;NA;NA
132;Bilinguals;match1;NA;NA;NA
141;Bilinguals;match1;9;13;9
146;Bilinguals;match1;NA;NA;NA
153;Bilinguals;match1;NA;NA;NA
157;Bilinguals;match1;NA;NA;NA
167;Bilinguals;match1;NA;NA;NA
176;Bilinguals;match1;7;NA;9
185;Bilinguals;match1;NA;NA;NA
187;Bilinguals;match1;NA;NA;NA
195;Bilinguals;match1;NA;NA;NA
196;Bilinguals;match1;NA;NA;NA
200;Bilinguals;match1;NA;NA;NA
202;Bilinguals;match1;NA;NA;NA
206;Bilinguals;match1;10;NA;4
210;Bilinguals;match1;7;9;10
230;Bilinguals;match1;7;10;10
231;Bilinguals;match1;NA;NA;NA
239;Bilinguals;match1;5;NA;6
242;Bilinguals;match1;NA;NA;NA
243;Bilinguals;match1;7;10;5
245;Bilinguals;match1;NA;NA;NA
249;Bilinguals;match1;NA;NA;NA
271;Bilinguals;match1;NA;NA;NA
277;Bilinguals;match1;9;11;9
287;Bilinguals;match1;NA;NA;NA
288;Bilinguals;match1;NA;NA;NA
290;Bilinguals;match1;NA;NA;NA
291;Bilinguals;match1;6;NA;8
293;Bilinguals;match1;NA;NA;NA
295;Bilinguals;match1;NA;NA;NA
302;Bilinguals;match1;NA;NA;NA
312;Bilinguals;match1;NA;NA;NA
337;Bilinguals;match1;7;12;9
339;Bilinguals;match1;6;NA;NA
343;Bilinguals;match1;NA;NA;NA
371;Bilinguals;match1;9;NA;10
390;Bilinguals;match1;6;10;24
392;Bilinguals;match1;6;13;6
414;Bilinguals;match1;NA;NA;NA
423;Bilinguals;match1;8;NA;6
469;Bilinguals;match1;NA;NA;NA
527;Bilinguals;match1;NA;NA;NA
537;Bilinguals;match1;NA;NA;NA
541;Bilinguals;match1;NA;NA;NA
543;Bilinguals;match1;NA;NA;NA
590;Bilinguals;match1;10;NA;7
593;Bilinguals;match1;NA;NA;NA
594;Bilinguals;match1;8;13;6
611;Bilinguals;match1;7;NA;9
633;Bilinguals;match1;NA;NA;NA
655;Bilinguals;match1;8;13;5
666;Bilinguals;match1;9;10;8
669;Bilinguals;match1;NA;NA;NA
672;Bilinguals;match1;7;13;10
680;Bilinguals;match1;NA;NA;NA
706;Bilinguals;match1;NA;NA;NA
728;Bilinguals;match1;5;12;14
741;Bilinguals;match1;7;NA;NA
770;Bilinguals;match1;8;11;9
