child_anonim;group;match;elements_number;m_cat;age_at_element;word_type_id;name;form;words_per_utterance;meaning;l1;l2;l3;language;comment
5;Bilinguals;match1;1;m1;11;4;MULTI_WORD;Nie ma.;2;Nie ma.;Polish;NA;NA;Polish;NA
110;Bilinguals;match1;2;NA;28;4;MULTI_WORD;Maj chcę ;2;Mig chcę (ja chcę) ;Polish;Danish;NA;Polish;NA
110;Bilinguals;match1;1;m3;23;4;MULTI_WORD;Pepi ma mamy;3;Mama ma pępek ;Polish;NA;NA;Polish;NA
110;Bilinguals;match1;1;m1;23;4;MULTI_WORD;Pepi ma mamy;3;Mama ma pępek ;Polish;NA;NA;Polish;NA
124;Bilinguals;match1;1;m1;20;4;MULTI_WORD;More cake;2;More cake;English;NA;NA;Polish;NA
196;Bilinguals;match1;2;NA;24;4;MULTI_WORD;Nie chcę;2;Nie chcę;Polish;NA;NA;Polish;NA
196;Bilinguals;match1;1;m1;24;4;MULTI_WORD;W tamtą stronę;3;W tamtą stronę;Polish;NA;NA;Polish;NA
196;Bilinguals;match1;1;m3;24;4;MULTI_WORD;W tamtą stronę;3;W tamtą stronę;Polish;NA;NA;Polish;NA
202;Bilinguals;match1;1;m1;19;4;MULTI_WORD;All gone / all done;2;Finished / no more left;English;NA;NA;English;NA
243;Bilinguals;match1;1;m1;21;4;MULTI_WORD;Pies jest;2;Tam jest pies;Polish;NA;NA;Polish;NA
243;Bilinguals;match1;2;NA;23;4;MULTI_WORD;Cisza już ;2;Ciocho bądź ;Polish;NA;NA;Polish;NA
243;Bilinguals;match1;4;NA;21;4;MULTI_WORD;Chcę tam;2;Chcę tam pójść ;Polish;NA;NA;Polish;NA
243;Bilinguals;match1;3;m3;23;4;MULTI_WORD;I love czypis;3;Kocham frytki;English;NA;NA;English;NA
287;Bilinguals;match1;2;NA;18;4;MULTI_WORD;meaty meat;2;meat;English;NA;NA;English;NA
287;Bilinguals;match1;5;NA;15;4;MULTI_WORD;cycy prosze;2;Prosze o cycusia (mleko);Polish;NA;NA;Polish;NA
287;Bilinguals;match1;3;NA;18;4;MULTI_WORD;Ale bałagan!;2;Ale bałagan!;Polish;NA;NA;Polish;Kiedy widzi cos porozrzucane na podlodze.
287;Bilinguals;match1;6;NA;15;4;MULTI_WORD;nie ma;2;nie ma ;Polish;NA;NA;Polish;NA
287;Bilinguals;match1;1;m1;17;4;MULTI_WORD;Piżamka króliczki jest brudne;4;piżamka w króliczki jest brudna;Polish;NA;NA;Polish;NA
287;Bilinguals;match1;7;m3;15;4;MULTI_WORD;shut the door;3;shut the door;English;NA;NA;English;NA
287;Bilinguals;match1;8;NA;16;4;MULTI_WORD;bij brawo;2;bij brawo;Polish;NA;NA;Polish;NA
287;Bilinguals;match1;4;NA;15;4;MULTI_WORD;jeszcze proszę ;2;jeszcze proszę ;Polish;NA;NA;Polish;NA
287;Bilinguals;match1;1;m4;17;4;MULTI_WORD;Piżamka króliczki jest brudne;4;piżamka w króliczki jest brudna;Polish;NA;NA;Polish;NA
291;Bilinguals;match1;1;m1;16;4;MULTI_WORD;Nie mama;2;Mama nie rob;Polish;NA;NA;Polish;NA
291;Bilinguals;match1;2;NA;16;4;MULTI_WORD;Mama piciu;2;Szklanka mamy;Polish;NA;NA;Polish;NA
291;Bilinguals;match1;3;NA;18;4;MULTI_WORD;Tu klosi;2;Tu sa klocki;Polish;NA;NA;Polish;NA
390;Bilinguals;match1;1;m1;21;4;MULTI_WORD;Mamusiu choć;2;Mamusiu chodź ;Polish;NA;NA;Polish;NA
672;Bilinguals;match1;1;m3;18;4;MULTI_WORD;Mama sidzi tu;3;Mama ma usiąść tu;Polish;NA;NA;Polish;NA
672;Bilinguals;match1;1;m1;18;4;MULTI_WORD;Mama sidzi tu;3;Mama ma usiąść tu;Polish;NA;NA;Polish;NA
672;Bilinguals;match1;3;m4;18;4;MULTI_WORD;A be ce katze;4;Początek piosenki abc die Katze lief in Schnee ;German;NA;NA;German;NA
672;Bilinguals;match1;2;NA;18;4;MULTI_WORD;Alo baba;2;Halo baba;Polish;NA;NA;Polish;Z telefonem przy uchu
1159;Bilinguals;match1;1;m1;23;4;MULTI_WORD;Tehas ja;2;Teraz ja;Polish;NA;NA;Polish;NA
1159;Bilinguals;match1;2;NA;23;4;MULTI_WORD;Jehcie raz;2;Jeszcze raz;Polish;NA;NA;Polish;NA
1305;Bilinguals;match1;1;m1;24;4;MULTI_WORD;Jaja bam;2;Eggs broke;Polish;NA;NA;Polish;NA
1350;Bilinguals;match1;1;m1;13;4;MULTI_WORD;Sit down;2;I want to sit here;English;NA;NA;English;NA
1350;Bilinguals;match1;3;NA;13;4;MULTI_WORD;More please;2;Can I have some more please;English;NA;NA;English;NA
1350;Bilinguals;match1;2;NA;13;4;MULTI_WORD;Mammy shark;2;Mammy shark;English;NA;NA;English;NA
1362;Bilinguals;match1;2;m3;14;4;MULTI_WORD;Okej coze nah;3;Ok, close now;English;NA;NA;English;NA
1362;Bilinguals;match1;1;m1;14;4;MULTI_WORD;I know;2;I know;English;NA;NA;English;Używane jako wtrącenie konwersacyjne
1624;Bilinguals;match1;1;m1;19;4;MULTI_WORD;Zrobiła si;2;Zrobiła siku;Polish;NA;NA;Polish;NA
1624;Bilinguals;match1;2;m3;21;4;MULTI_WORD;Mama Doo doo;3;Piosenka Baby Shark;Polish;NA;NA;Polish;NA
2524;Bilinguals;match1;10;NA;19;4;MULTI_WORD;Tu jest;2;Tu jest;Polish;NA;NA;Polish;NA
2524;Bilinguals;match1;7;NA;19;4;MULTI_WORD;Chopic jedzie jowej;3;Chłopiec jedzie rowerem;Polish;NA;NA;Polish;NA
2524;Bilinguals;match1;3;NA;19;4;MULTI_WORD;Tata pokazał pociąg;3;Tata pokazal pociąg;Polish;NA;NA;Polish;NA
2524;Bilinguals;match1;12;NA;20;4;MULTI_WORD;Śmieciajka mig mig pojechała;3;Śmieciarka zamigała i pojechała;Polish;NA;NA;Polish;NA
2524;Bilinguals;match1;11;NA;20;4;MULTI_WORD;Mama pachnie psik psik;3;Mama pachnie perfumami;Polish;NA;NA;Polish;NA
2524;Bilinguals;match1;6;NA;19;4;MULTI_WORD;Cy sie dziji;3;Co się dzieje;Polish;NA;NA;Polish;NA
2524;Bilinguals;match1;5;NA;19;4;MULTI_WORD;Macinek zamknął. Bjawo;2;Marcinek zamknął brawo;Polish;NA;NA;Polish;NA
2524;Bilinguals;match1;2;NA;20;4;MULTI_WORD;Babcia poszła;2;Babcia poszła;Polish;NA;NA;Polish;NA
