child_anonim;group;match;word_number_old;word_type_id;name;form;meaning;l1;l2;l3;comment;age_at_element
4;Bilinguals;match1;1;1;WORD;Mama;Mama;Polish;NA;NA;NA;7
5;Bilinguals;match1;45;1;WORD;Ape;Dziadek, abbi;Faroese;NA;NA;NA;14
5;Bilinguals;match1;57;1;WORD;arm;Ramię, arm;Polish;Faroese;NA;NA;15
5;Bilinguals;match1;8;1;WORD;Babba;Tata;Faroese;NA;NA;NA;9
5;Bilinguals;match1;34;1;WORD;Baj baj;Baj baj, pa pa, do widzenia;Polish;Faroese;NA;NA;13
5;Bilinguals;match1;52;1;WORD;bleje;Blæ, pielucha;Faroese;NA;NA;NA;15
5;Bilinguals;match1;55;1;WORD;Brej;Chleb, breyð;Faroese;Polish;NA;NA;15
5;Bilinguals;match1;38;1;WORD;Ciolka;Policzki, kjálki/-ar;Polish;Faroese;NA;NA;13
5;Bilinguals;match1;9;1;WORD;Didda;Dziewczynka (tu starsza siostra);Faroese;NA;NA;NA;10
5;Bilinguals;match1;58;1;WORD;eta;Jeść, eta;Polish;Faroese;NA;NA;15
5;Bilinguals;match1;56;1;WORD;fut;stopa, fót;Polish;Faroese;NA;NA;15
5;Bilinguals;match1;23;1;WORD;Gru;Gruszka;Polish;NA;NA;NA;11
5;Bilinguals;match1;51;1;WORD;Hoś;Chodź, koma;Polish;Faroese;NA;NA;14
5;Bilinguals;match1;50;1;WORD;Iś;Pić, drekka;Polish;Faroese;NA;NA;14
5;Bilinguals;match1;13;1;WORD;Jesie;Jeszcze;Polish;NA;NA;NA;11
5;Bilinguals;match1;18;1;WORD;Kha;Tak;Polish;Faroese;NA;NA;11
5;Bilinguals;match1;41;1;WORD;Khiii;Kot, kicia;Polish;Faroese;NA;NA;13
5;Bilinguals;match1;37;1;WORD;Ko;Koń;Polish;NA;NA;NA;13
5;Bilinguals;match1;20;1;WORD;Ko'a;Kocham;Polish;NA;NA;NA;11
5;Bilinguals;match1;17;1;WORD;Ko'm;Kocham;Polish;NA;NA;NA;11
5;Bilinguals;match1;26;1;WORD;Koko;Awokado;Polish;Faroese;NA;NA;13
5;Bilinguals;match1;22;1;WORD;Kr;Kurtka;Polish;NA;NA;NA;11
5;Bilinguals;match1;32;1;WORD;Ku;Kurtka;Polish;NA;NA;NA;13
5;Bilinguals;match1;36;1;WORD;Ku;Kura;Polish;NA;NA;NA;13
5;Bilinguals;match1;46;1;WORD;Kukuj;Kupa, paproch, kukur;Polish;Faroese;NA;NA;14
5;Bilinguals;match1;12;1;WORD;Kukur;Kupa;Faroese;NA;NA;NA;11
5;Bilinguals;match1;11;1;WORD;Mø;Krowa Muu;Polish;Faroese;NA;NA;10
5;Bilinguals;match1;3;1;WORD;ma;Nie ma;Polish;NA;NA;NA;5
5;Bilinguals;match1;6;1;WORD;Mamma;Mama;Polish;Faroese;NA;NA;9
5;Bilinguals;match1;24;1;WORD;Manan, maman;Banan;Polish;Faroese;NA;NA;11
5;Bilinguals;match1;54;1;WORD;mejra;meira, więcej;Polish;Faroese;NA;NA;15
5;Bilinguals;match1;28;1;WORD;Mini;Wiraminy;Polish;Faroese;NA;NA;13
5;Bilinguals;match1;27;1;WORD;Mlask;Mleko, mjólk;Polish;Faroese;NA;NA;13
5;Bilinguals;match1;47;1;WORD;Muj;Mój, mín;Polish;Faroese;NA;NA;14
5;Bilinguals;match1;29;1;WORD;Nana;Marysia, Maria;Polish;Faroese;NA;NA;13
5;Bilinguals;match1;1;1;WORD;nie;nie;Polish;NA;NA;NA;3
5;Bilinguals;match1;19;1;WORD;Nie;Nie, nei;Polish;Faroese;NA;NA;11
5;Bilinguals;match1;43;1;WORD;O;Ser, ost;Polish;Faroese;NA;NA;13
5;Bilinguals;match1;44;1;WORD;Omma;Babcia, omma;Faroese;NA;NA;NA;14
5;Bilinguals;match1;48;1;WORD;Op;Do góry, upp;Polish;Faroese;NA;NA;14
5;Bilinguals;match1;16;1;WORD;Pa;Papa (na pożegnanie);Polish;NA;NA;NA;11
5;Bilinguals;match1;33;1;WORD;Pa';Pan, pani;Polish;Faroese;NA;NA;13
5;Bilinguals;match1;4;2;NEOLOGISM;Pe;Oppe;Faroese;NA;NA;NA;5
5;Bilinguals;match1;42;1;WORD;Pipi;Kurczaczek;Polish;Faroese;NA;NA;13
5;Bilinguals;match1;31;1;WORD;Pkapka;Czapka;Polish;Faroese;NA;NA;13
5;Bilinguals;match1;21;1;WORD;Pop;Hop hop;Polish;Faroese;NA;NA;11
5;Bilinguals;match1;25;1;WORD;Pop;Hop;Polish;Faroese;NA;NA;12
5;Bilinguals;match1;49;1;WORD;Si;Siku, sikać, piss, pissa;Polish;Faroese;NA;NA;14
5;Bilinguals;match1;5;1;WORD;sko;sko;Faroese;NA;NA;NA;9
5;Bilinguals;match1;2;1;WORD;Ta;? Tak;Polish;NA;NA;NA;3
5;Bilinguals;match1;7;1;WORD;Tata;Tata;Polish;NA;NA;NA;9
5;Bilinguals;match1;30;1;WORD;Thrru;Truck, jeździć wózkiem widłowym;Polish;Faroese;NA;NA;13
5;Bilinguals;match1;14;1;WORD;To;To;Polish;NA;NA;NA;11
5;Bilinguals;match1;39;1;WORD;Trrako;Traktor;Polish;Faroese;NA;NA;13
5;Bilinguals;match1;15;1;WORD;Tu;Tu;Polish;NA;NA;NA;11
5;Bilinguals;match1;40;1;WORD;Uj;Do/w, í [uj];Polish;Faroese;NA;NA;13
5;Bilinguals;match1;53;1;WORD;uś;Już, meira;Polish;NA;NA;NA;15
5;Bilinguals;match1;10;1;WORD;Vof vof;Pies Hau hau;Polish;Faroese;NA;NA;9
5;Bilinguals;match1;35;1;WORD;Wowo;Woda;Polish;NA;NA;NA;13
7;Bilinguals;match1;3;1;WORD;Bije;Hit;Polish;NA;NA;NA;23
7;Bilinguals;match1;2;1;WORD;Brum brum;Car;Polish;NA;NA;NA;21
7;Bilinguals;match1;4;1;WORD;Ciach ciach;To cut with nife;Polish;NA;NA;NA;23
7;Bilinguals;match1;1;1;WORD;Minia;Mila;Polish;NA;NA;NA;21
10;Monolinguals2;match2;1;1;WORD;Eć;Jedź;Polish;NA;NA;NA;22
18;Monolinguals2;match2;11;1;WORD;Ała;Ała;Polish;NA;NA;NA;19
18;Monolinguals2;match2;8;1;WORD;Ato;Auto;Polish;NA;NA;NA;19
18;Monolinguals2;match2;6;1;WORD;Ba;Bam;Polish;NA;NA;NA;19
18;Monolinguals2;match2;13;1;WORD;Babuz;Arbuz;Polish;NA;NA;NA;20
18;Monolinguals2;match2;10;1;WORD;Bach;Bach, samochody się zderzyły;Polish;NA;NA;NA;19
18;Monolinguals2;match2;5;1;WORD;Bu;Burza;Polish;NA;NA;NA;19
18;Monolinguals2;match2;4;1;WORD;Cici;Kot;Polish;NA;NA;NA;19
18;Monolinguals2;match2;2;1;WORD;Co to;Co to;Polish;NA;NA;NA;19
18;Monolinguals2;match2;12;1;WORD;Cycy;Cycy;Polish;NA;NA;NA;19
18;Monolinguals2;match2;9;1;WORD;Mama;Mama;Polish;NA;NA;NA;19
18;Monolinguals2;match2;14;1;WORD;Nie;Nie;Polish;NA;NA;NA;20
18;Monolinguals2;match2;15;1;WORD;Tak;Tak;Polish;NA;NA;NA;20
18;Monolinguals2;match2;1;1;WORD;Tata;Tata;Polish;NA;NA;NA;19
18;Monolinguals2;match2;7;1;WORD;Tato;Traktor;Polish;NA;NA;NA;19
18;Monolinguals2;match2;3;1;WORD;Tot;Kot;Polish;NA;NA;NA;19
18;Monolinguals2;match2;16;1;WORD;Tu;Tu;Polish;NA;NA;NA;20
