"";"child_anonim";"group";"match";"word_number";"word_type_id";"name";"form";"version";"meaning";"l1";"l2";"l3";"language";"comment";"age_at_element"
"1";4;"Bilinguals";"match1";1;"1";"WORD";"Mama";0;"Mama";"Polish";NA;NA;"Polish";NA;7
"2";5;"Bilinguals";"match1";1;"1";"WORD";"nie";0;"nie";"Polish";NA;NA;"Polish";NA;3
"3";5;"Bilinguals";"match1";11;"1";"WORD";"Mø";0;"Krowa Muu";"Polish";"Faroese";NA;"Polish,Faroese";NA;10
"4";5;"Bilinguals";"match1";2;"1";"WORD";"Ta";0;"? Tak";"Polish";NA;NA;"Polish";NA;3
"5";5;"Bilinguals";"match1";26;"1";"WORD";"Koko";0;"Awokado";"Polish";"Faroese";NA;"Polish,Faroese";NA;13
"6";5;"Bilinguals";"match1";27;"1";"WORD";"Mlask";0;"Mleko, mjólk";"Polish";"Faroese";NA;"Polish,Faroese";NA;13
"7";5;"Bilinguals";"match1";21;"1";"WORD";"Pop";0;"Hop hop";"Polish";"Faroese";NA;"Polish,Faroese";NA;11
"8";5;"Bilinguals";"match1";53;"1";"WORD";"uś";0;"Już, meira";"Polish";NA;NA;"Polish";NA;15
"9";5;"Bilinguals";"match1";5;"1";"WORD";"sko";0;"sko";"Faroese";NA;NA;"Faroese";NA;9
"10";5;"Bilinguals";"match1";6;"1";"WORD";"Mamma";0;"Mama";"Polish";"Faroese";NA;"Polish,Faroese";NA;9
"11";5;"Bilinguals";"match1";52;"1";"WORD";"bleje";0;"Blæ, pielucha";"Faroese";NA;NA;"Faroese";NA;15
"12";5;"Bilinguals";"match1";37;"1";"WORD";"Ko";0;"Koń";"Polish";NA;NA;"Polish";NA;13
"13";5;"Bilinguals";"match1";38;"1";"WORD";"Ciolka";0;"Policzki, kjálki/-ar";"Polish";"Faroese";NA;"Polish,Faroese";NA;13
"14";5;"Bilinguals";"match1";39;"1";"WORD";"Trrako";0;"Traktor";"Polish";"Faroese";NA;"Polish,Faroese";NA;13
"15";5;"Bilinguals";"match1";15;"1";"WORD";"Tu";0;"Tu";"Polish";NA;NA;"Polish";NA;11
"16";5;"Bilinguals";"match1";49;"1";"WORD";"Si";0;"Siku, sikać, piss, pissa";"Polish";"Faroese";NA;"Polish,Faroese";NA;14
"17";5;"Bilinguals";"match1";4;"2";"NEOLOGISM";"Pe";0;"Oppe";"Faroese";NA;NA;"Faroese";NA;5
"18";5;"Bilinguals";"match1";18;"1";"WORD";"Kha";0;"Tak";"Polish";"Faroese";NA;"Polish,Faroese";NA;11
"19";5;"Bilinguals";"match1";12;"1";"WORD";"Kukur";0;"Kupa";"Faroese";NA;NA;"Faroese";NA;11
"20";5;"Bilinguals";"match1";20;"1";"WORD";"Ko'a";0;"Kocham";"Polish";NA;NA;"Polish";NA;11
"21";5;"Bilinguals";"match1";34;"1";"WORD";"Baj baj";0;"Baj baj, pa pa, do widzenia";"Polish";"Faroese";NA;"Polish,Faroese";NA;13
"22";5;"Bilinguals";"match1";54;"1";"WORD";"mejra";0;"meira, więcej";"Polish";"Faroese";NA;"Polish,Faroese";NA;15
"23";5;"Bilinguals";"match1";55;"1";"WORD";"Brej";0;"Chleb, breyð";"Faroese";"Polish";NA;"Faroese,Polish";NA;15
"24";5;"Bilinguals";"match1";36;"1";"WORD";"Ku";0;"Kura";"Polish";NA;NA;"Polish";NA;13
"25";5;"Bilinguals";"match1";57;"1";"WORD";"arm";0;"Ramię, arm";"Polish";"Faroese";NA;"Polish,Faroese";NA;15
"26";5;"Bilinguals";"match1";58;"1";"WORD";"eta";0;"Jeść, eta";"Polish";"Faroese";NA;"Polish,Faroese";NA;15
"27";5;"Bilinguals";"match1";14;"1";"WORD";"To";0;"To";"Polish";NA;NA;"Polish";NA;11
"28";5;"Bilinguals";"match1";9;"1";"WORD";"Didda";0;"Dziewczynka (tu starsza siostra)";"Faroese";NA;NA;"Faroese";NA;10
"29";5;"Bilinguals";"match1";16;"1";"WORD";"Pa";0;"Papa (na pożegnanie)";"Polish";NA;NA;"Polish";NA;11
"30";5;"Bilinguals";"match1";17;"1";"WORD";"Ko'm";0;"Kocham";"Polish";NA;NA;"Polish";NA;11
"31";5;"Bilinguals";"match1";22;"1";"WORD";"Kr";0;"Kurtka";"Polish";NA;NA;"Polish";NA;11
"32";5;"Bilinguals";"match1";19;"1";"WORD";"Nie";0;"Nie, nei";"Polish";"Faroese";NA;"Polish,Faroese";NA;11
"33";5;"Bilinguals";"match1";24;"1";"WORD";"Manan, maman";0;"Banan";"Polish";"Faroese";NA;"Polish,Faroese";NA;11
"34";5;"Bilinguals";"match1";25;"1";"WORD";"Pop";0;"Hop";"Polish";"Faroese";NA;"Polish,Faroese";NA;12
"35";5;"Bilinguals";"match1";41;"1";"WORD";"Khiii";0;"Kot, kicia";"Polish";"Faroese";NA;"Polish,Faroese";NA;13
"36";5;"Bilinguals";"match1";46;"1";"WORD";"Kukuj";0;"Kupa, paproch, kukur";"Polish";"Faroese";NA;"Polish,Faroese";NA;14
"37";5;"Bilinguals";"match1";35;"1";"WORD";"Wowo";0;"Woda";"Polish";NA;NA;"Polish";NA;13
